"","DateCollection","Source","HOSP"
"1","2017-12-06","Environmental","M"
"2","2017-12-06","Environmental","M"
"3","2017-12-06","Environmental","M"
"4","2017-12-06","Environmental","M"
"5","2017-12-11","Environmental","H"
"6","2017-12-11","Environmental","H"
"7","2017-12-11","Environmental","H"
"8","2017-12-11","Environmental","H"
"9","2017-12-11","Environmental","H"
"10","2017-12-11","Environmental","H"
"11","2017-12-11","Environmental","H"
"12","2017-12-11","Environmental","H"
"13","2017-12-11","Environmental","H"
"14","2017-12-11","Environmental","H"
"15","2017-12-11","Environmental","H"
"16","2017-12-11","Environmental","H"
"17","2017-12-11","Environmental","H"
"18","2017-12-11","Environmental","H"
"19","2017-12-11","Environmental","H"
"20","2017-12-11","Environmental","H"
"21","2017-12-18","Environmental","H"
"22","2017-12-18","Environmental","H"
"23","2017-12-18","Environmental","H"
"24","2017-12-18","Environmental","H"
"25","2017-12-18","Environmental","H"
"26","2017-12-18","Environmental","H"
"27","2017-12-18","Environmental","H"
"28","2017-12-18","Environmental","H"
"29","2017-12-18","Environmental","H"
"30","2017-12-18","Environmental","H"
"31","2017-12-18","Environmental","H"
"32","2017-12-18","Environmental","H"
"33","2017-12-18","Environmental","H"
"34","2017-12-18","Environmental","H"
"35","2017-12-18","Environmental","H"
"36","2017-12-18","Environmental","H"
"37","2017-12-18","Environmental","H"
"38","2017-12-18","Environmental","H"
"39","2017-12-18","Environmental","H"
"40","2018-01-30","Environmental","M"
"41","2018-01-30","Environmental","M"
"42","2018-01-30","Environmental","M"
"43","2018-01-30","Environmental","M"
"44","2018-01-30","Environmental","M"
"45","2018-01-30","Environmental","M"
"46","2018-01-30","Environmental","M"
"47","2018-01-30","Environmental","M"
"48","2018-01-30","Environmental","M"
"49","2018-01-30","Environmental","M"
"50","2018-01-30","Environmental","M"
"51","2018-01-30","Environmental","M"
"52","2018-03-05","Environmental","M"
"53","2018-03-05","Environmental","M"
"54","2018-03-05","Environmental","M"
"55","2018-03-05","Environmental","M"
"56","2018-03-05","Environmental","M"
"57","2018-03-05","Environmental","M"
"58","2018-03-05","Environmental","M"
"59","2018-03-05","Environmental","M"
"60","2018-03-05","Environmental","M"
"61","2018-03-05","Environmental","M"
"62","2018-05-08","Environmental","H"
"63","2018-05-08","Environmental","H"
"64","2018-05-08","Environmental","H"
"65","2018-05-08","Environmental","H"
"66","2018-05-08","Environmental","H"
"67","2018-05-08","Environmental","H"
"68","2018-05-08","Environmental","H"
"69","2018-05-08","Environmental","H"
"70","2018-05-08","Environmental","H"
"71","2018-05-08","Environmental","H"
"72","2018-05-08","Environmental","H"
"73","2018-05-08","Environmental","H"
"74","2018-05-14","Environmental","N"
"75","2018-05-14","Environmental","N"
"76","2018-05-14","Environmental","N"
"77","2018-05-14","Environmental","N"
"78","2018-05-14","Environmental","N"
"79","2018-05-14","Environmental","N"
"80","2018-05-14","Environmental","N"
"81","2018-05-14","Environmental","N"
"82","2018-05-14","Environmental","N"
"83","2018-05-14","Environmental","N"
"84","2018-05-14","Environmental","N"
"85","2018-05-14","Environmental","N"
"86","2018-05-14","Environmental","N"
"87","2018-05-14","Environmental","N"
"88","2018-05-14","Environmental","N"
"89","2018-05-14","Environmental","N"
"90","2018-05-14","Environmental","N"
"91","2018-05-14","Environmental","N"
"92","2018-05-14","Environmental","N"
"93","2018-05-14","Environmental","N"
"94","2018-05-14","Environmental","N"
"95","2018-05-14","Environmental","N"
"96","2018-05-14","Environmental","N"
"97","2018-05-16","Environmental","N"
"98","2018-05-16","Environmental","N"
"99","2018-05-16","Environmental","N"
"100","2018-05-16","Environmental","N"
"101","2018-05-16","Environmental","N"
"102","2018-05-16","Environmental","N"
"103","2018-05-16","Environmental","N"
"104","2018-05-16","Environmental","N"
"105","2018-05-16","Environmental","N"
"106","2018-05-22","Environmental","N"
"107","2018-05-22","Environmental","N"
"108","2018-05-22","Environmental","N"
"109","2018-05-22","Environmental","N"
"110","2018-05-22","Environmental","N"
"111","2018-05-22","Environmental","N"
"112","2018-05-22","Environmental","N"
"113","2018-05-22","Environmental","N"
"114","2018-05-22","Environmental","N"
"115","2018-05-22","Environmental","N"
"116","2018-05-22","Environmental","N"
"117","2018-05-22","Environmental","N"
"118","2018-05-22","Environmental","N"
"119","2018-05-22","Environmental","N"
"120","2018-05-22","Environmental","N"
"121","2018-05-22","Environmental","N"
"122","2018-05-22","Environmental","N"
"123","2018-05-22","Environmental","N"
"124","2018-05-22","Environmental","N"
"125","2018-05-22","Environmental","N"
"126","2018-05-22","Environmental","N"
"127","2018-05-22","Environmental","N"
"128","2018-05-22","Environmental","N"
"129","2018-05-22","Environmental","N"
"130","2018-05-22","Environmental","N"
"131","2018-05-22","Environmental","N"
"132","2018-05-22","Environmental","N"
"133","2018-05-22","Environmental","N"
"134","2018-05-29","Environmental","L"
"135","2018-05-29","Environmental","L"
"136","2018-05-29","Environmental","L"
"137","2018-05-29","Environmental","L"
"138","2018-05-29","Environmental","L"
"139","2018-05-29","Environmental","L"
"140","2018-05-29","Environmental","L"
"141","2018-05-29","Environmental","L"
"142","2018-05-29","Environmental","L"
"143","2018-05-29","Environmental","L"
"144","2018-05-29","Environmental","L"
"145","2018-05-29","Environmental","L"
"146","2018-05-29","Environmental","L"
"147","2018-05-29","Environmental","L"
"148","2018-05-29","Environmental","L"
"149","2018-05-29","Environmental","L"
"150","2018-05-29","Environmental","L"
"151","2018-05-29","Environmental","L"
"152","2018-05-29","Environmental","L"
"153","2018-05-29","Environmental","L"
"154","2018-05-29","Environmental","L"
"155","2018-05-29","Environmental","L"
"156","2018-05-29","Environmental","L"
"157","2018-05-29","Environmental","L"
"158","2018-05-29","Environmental","L"
"159","2018-05-29","Environmental","L"
"160","2018-05-29","Environmental","L"
"161","2018-05-29","Environmental","L"
"162","2018-05-29","Environmental","L"
"163","2018-05-29","Environmental","L"
"164","2018-05-29","Environmental","L"
"165","2018-05-29","Environmental","L"
"166","2018-05-29","Environmental","L"
"167","2018-05-29","Environmental","L"
"168","2018-05-29","Environmental","L"
"169","2018-05-29","Environmental","L"
"170","2018-05-29","Environmental","L"
"171","2018-05-29","Environmental","L"
